1;BI21_1SS1_DK3_T;Сработка 1СС1-ДК3 температура в Шкиперской кладовой 70 гр.Ц.
;BI21_1SS1_DK3_dT;Сработка 1СС1-ДК3 изменение температуры в Шкиперской кладовой 10 гр.Ц. в мин.
;BI21_1SS1_DK3_f;Сработка 1СС1-ДК3 дым в Шкиперской кладовой 15%
2;BI21_1SS1_DK2_T;Сработка 1СС1-ДК2 температура в Такелажной кладовой 70 гр.Ц.
;BI21_1SS1_DK2_dT;Сработка 1СС1-ДК2 изменение температуры в Такелажной кладовой 10 гр.Ц. в мин.
;BI21_1SS1_DK2_f;Сработка 1СС1-ДК2 дым в Такелажной кладовой 15%
;BI21_1SS1_DT1_T1;Сработка 1СС1-ДТ1 температура в Такелажной кладовой 30 гр.Ц.
;BI21_1SS1_DT1_T2;Сработка 1СС1-ДТ1 температура в Такелажной кладовой 70 гр.Ц.
;BI21_1SS1_DT1_dT;Сработка 1СС1-ДТ1 изменение температуры в Такелажной кладовой 10 гр.Ц. в мин.
3;BI21_1SS1_DK1_T;Сработка 1СС1-ДК1 температура в Форпике 70 гр.Ц.
;BI21_1SS1_DK1_dT;Сработка 1СС1-ДК1 изменение температуры в Форпике 10 гр.Ц. в мин.
;BI21_1SS1_DK1_f;Сработка 1СС1-ДК1 дым в Форпике 15%
5;BI21_1SS1_DTV1_T;Сработка 1СС1-ДТВ1 температура в Молярной кладовой 70 гр.Ц.
;BI21_1SS1_DTV1_dT;Сработка 1СС1-ДТВ1 изменение температуры в Молярной кладовой 10 гр.Ц. в мин.
8;BI21_1SS1_DTV2_T;Сработка 1СС1-ДТВ2 температура в Молярной кладовой 70 гр.Ц.
;BI21_1SS1_DTV2_dT;Сработка 1СС1-ДТВ2 изменение температуры в Молярной кладовой 10 гр.Ц. в мин.
;BI21_1SS1_DFV1_f;Сработка 1СС1-ДФВ1 дым в Молярной кладовой 15%
;BI21_1SS1_RV1;Сработка 1СС1-РВ1 в Молярной кладовой
;BI21_1SS1_DP1;Сработка 1СС1-ДП1 в Молярной кладовой
;BI21_1SS1_DP2;Сработка 1СС1-ДП2 в Молярной кладовой
;BI22_2SS1_DF3_f;Сработка 2СС1-ДФ3 дым в Тамбуре №4 15% 
;BI22_2SS1_DF4_f;Сработка 2СС1-ДФ4 дым в Тамбуре №4 15% 
;BI22_2SS1_R2;Сработка 2СС1-Р2 в Тамбуре №4
;BI22_2SS1_DT9_T1;Сработка 2СС1-ДТ9 температура в Клад. сух. прод. и хлеба 30 гр.Ц.
;BI22_2SS1_DT9_T2;Сработка 2СС1-ДТ9 температура в Клад. сух. прод. и хлеба 70 гр.Ц.
;BI22_2SS1_DT9_dT;Сработка 2СС1-ДТ9 изменение температуры в Клад. сух. прод. и хлеба 10 гр.Ц. в мин.  
;BI22_2SS1_DT10_T1;Сработка 2СС1-ДТ10 температура в Клад. сух. прод. и хлеба 30 гр.Ц.
;BI22_2SS1_DT10_T2;Сработка 2СС1-ДТ10 температура в Клад. сух. прод. и хлеба 70 гр.Ц.
;BI22_2SS1_DT10_dT;Сработка 2СС1-ДТ10 изменение температуры в Клад. сух. прод. и хлеба 10 гр.Ц. в мин.  
;BI22_2SS1_DF6_f;Сработка 2СС1-ДФ6 дым в Посту ПМО №2 15%
;BI22_2SS1_DT13_T1;Сработка 2СС1-ДТ13 температура в Посту ПМО №2 30 гр.Ц.
;BI22_2SS1_DT13_T2;Сработка 2СС1-ДТ13 температура в Посту ПМО №2 70 гр.Ц.
;BI22_2SS1_DT13_dT;Сработка 2СС1-ДТ13 изменение температуры в Посту ПМО №2 10 гр.Ц. в мин. 
;BI22_2SS1_DF7_f;Сработка 2СС1-ДФ7 дым в Тамбуре №5 15% 
;BI22_2SS1_R3;Сработка 2СС1-Р3 в Тамбуре №5
;BI22_2SS1_DF8_f;Сработка 2СС1-ДФ8 дым в Помещении щитов №2 15%
;BI22_2SS1_DT7_f1;Сработка 2СС1-ДТ7 влажность в Помещении щитов №2 98%
;BI22_2SS1_DT7_f2;Сработка 2СС1-ДТ7 влажность в Помещении щитов №2 80%
;BI22_2SS1_DT7_T1;Сработка 2СС1-ДТ7 температура в Помещении щитов №2 30%
;BI22_2SS1_DT7_T2;Сработка 2СС1-ДТ7 температура в Помещении щитов №2 70 гр.Ц.
;BI22_2SS1_DF5_f;Сработка 2СС1-ДФ5 дым в Помещении мороз. шкафов 15%
;BI22_2SS1_DT12_T1;Сработка 2СС1-ДТ12 температура в Помещении мороз. шкафов 30 гр.Ц.
;BI22_2SS1_DT12_T2;Сработка 2СС1-ДТ12 температура в Помещении мороз. шкафов 70 гр.Ц.
;BI22_2SS1_DT12_dT;Сработка 2СС1-ДТ12 изменение температуры в Помещении мороз. кафов 10 гр.Ц. в мин.
;BI22_2SS1_DK2_T;Сработка 2СС1-ДК2 температура в Помещении холод. шкафов 70 гр.Ц.
;BI22_2SS1_DK2_dT;Сработка 2СС1-ДК2 изменение температуры в Помещении холод. шкафов 10 гр.Ц. в мин.
;BI22_2SS1_DK2_f;Сработка 2СС1-ДК2 дым в Помещении холод. шкафов 15%
;BI22_2SS1_DT11_T1;Сработка 2СС1-ДТ11 температура в Помещении холод. шкафов 30 гр.Ц.
;BI22_2SS1_DT11_T2;Сработка 2СС1-ДТ11 температура в Помещении холод. шкафов 70 гр.Ц.
;BI22_2SS1_DT11_dT;Сработка 2СС1-ДТ11 изменение температуры в Помещении холод. шкафов 10 гр.Ц. в мин.
;BI22_2SS1_DF2_f;Сработка 2СС1-ДФ2 дым в Тамбуре №1 15%
;BI22_2SS1_R1;Сработка 2СС1-Р1 в Тамбуре №1
;BI22_2SS1_DT4_T1;Сработка 2СС1-ДТ4 температура в Помещении мех. ПУ 30 гр.Ц.
;BI22_2SS1_DT4_T2;Сработка 2СС1-ДТ4 температура в Помещении мех. ПУ 70 гр.Ц.
;BI22_2SS1_DT4_dT;Сработка 2СС1-ДТ4 изменение температуры в Помещении мех. ПУ 10 гр.Ц. в мин.
;BI22_2SS1_DT5_T1;Сработка 2СС1-ДТ5 температура в Помещении мех. ПУ 30 гр.Ц.
;BI22_2SS1_DT5_T2;Сработка 2СС1-ДТ5 температура в Помещении мех. ПУ 70 гр.Ц.
;BI22_2SS1_DT5_dT;Сработка 2СС1-ДТ5 изменение температуры в Помещении мех. ПУ 10 гр.Ц. в мин.
;BI22_2SS1_DT6_T1;Сработка 2СС1-ДТ6 температура в Помещении мех. ПУ 30 гр.Ц.
;BI22_2SS1_DT6_T2;Сработка 2СС1-ДТ6 температура в Помещении мех. ПУ 70 гр.Ц.
;BI22_2SS1_DT6_dT;Сработка 2СС1-ДТ6 изменение температуры в Помещении мех. ПУ 10 гр.Ц. в мин.
;BI22_2SS1_DK1_T;Сработка 2СС1-ДК1 температура в Кладовой ЗИП №1 70 гр.Ц.
;BI22_2SS1_DK1_dT;Сработка 2СС1-ДК1 изменение температуры в Кладовой ЗИП №1 10 гр.Ц. в мин.
;BI22_2SS1_DK1_f;Сработка 2СС1-ДК1 дым в Кладовой ЗИП №1 15%
;BI22_2SS1_DT1_T1;Сработка 2СС1-ДТ1 температура в Пом. тр. ПУ и сточ. ц. №1 30 гр.Ц.
;BI22_2SS1_DT1_T2;Сработка 2СС1-ДТ1 температура в Пом. тр. ПУ и сточ. ц. №1 70 гр.Ц.
;BI22_2SS1_DT1_dT;Сработка 2СС1-ДТ1 изменение температуры в Пом. тр. ПУ и сточ. ц. №1 10 гр.Ц. в мин.
;BI22_2SS1_DT2_T1;Сработка 2СС1-ДТ2 температура в Пом. тр. ПУ и сточ. ц. №1 30 гр.Ц.
;BI22_2SS1_DT2_T2;Сработка 2СС1-ДТ2 температура в Пом. тр. ПУ и сточ. ц. №1 70 гр.Ц.
;BI22_2SS1_DT2_dT;Сработка 2СС1-ДТ2 изменение температуры в Пом. тр. ПУ и сточ. ц. №1 10 гр.Ц. в мин.
;BI22_2SS1_DT3_T1;Сработка 2СС1-ДТ3 температура в Пом. тр. ПУ и сточ. ц. №1 30 гр.Ц.
;BI22_2SS1_DT3_T2;Сработка 2СС1-ДТ3 температура в Пом. тр. ПУ и сточ. ц. №1 70 гр.Ц.
;BI22_2SS1_DT3_dT;Сработка 2СС1-ДТ3 изменение температуры в Пом. тр. ПУ и сточ. ц. №1 10 гр.Ц. в мин.
;BI22_2SS1_DF1_f;Сработка 2СС1-ДФ1 дым в Агрегатной ПУС 15%
;BI22_2SS1_DT8_T1;Сработка 2СС1-ДТ8 температура в Агрегатной ПУС 30 гр.Ц.
;BI22_2SS1_DT8_T2;Сработка 2СС1-ДТ8 температура в Агрегатной ПУС 70 гр.Ц.
;BI22_2SS1_DT8_dT;Сработка 2СС1-ДТ8 изменение температуры в Агрегатной ПУС 10 гр.Ц. в мин.
;BI23_3SS1_DF13_f;Сработка 3СС1-ДФ13 дым в Коридоре №1 15%
;BI23_3SS1_DF14_f;Сработка 3СС1-ДФ14 дым в Коридоре №1 15%
;BI23_3SS1_R5;Сработка 3СС1-Р5 в Коридоре №1
;BI23_3SS1_DK11_V;Сработка 3СС1-ДК11 объем в Коридоре №1 20 мг. куб.
;BI23_3SS1_DK11_T;Сработка 3СС1-ДК11 температура в Коридоре №1 70 гр.Ц.
;BI23_3SS1_DK11_dT;Сработка 3СС1-ДК11 изменение температуры в Коридоре №1 10 гр.Ц. в мин.
;BI23_3SS1_DK11_f;Сработка 3СС1-ДК11 дым в Коридоре №1 15%
;BI23_3SS1_DF8_f;Сработка 3СС1-ДФ8 дым в Тамбуре №7 15%
;BI23_3SS1_R3;Сработка 3СС1-Р3 в Тамбуре №7
;BI23_3SS1_DT26_T1;Сработка 3СС1-ДТ26 температура в Гальюне мичманов 30 гр.Ц.
;BI23_3SS1_DT26_T2;Сработка 3СС1-ДТ26 температура в Гальюне мичманов 70 гр.Ц.
;BI23_3SS1_DT26_dT;Сработка 3СС1-ДТ26 изменение температуры в Гальюне мичманов 10 гр.Ц. в мин.
;BI23_3SS1_DF7_f;Сработка 3СС1-ДФ7 дым в Раздевальной мичманов 15%
;BI23_3SS1_DF20_f;Сработка 3СС1-ДФ20 дым в Тамбуре №9 15%
;BI23_3SS1_R9;Сработка 3СС1-Р9 в Тамбуре №9
;BI23_3SS1_DT35_T1;Сработка 3СС1-ДТ35 температура в Трансляционном посту 30 гр.Ц.
;BI23_3SS1_DT35_T2;Сработка 3СС1-ДТ35 температура в Трансляционном посту 70 гр.Ц.
;BI23_3SS1_DT35_dT;Сработка 3СС1-ДТ35 изменение температуры в Трансляционном посту 10 гр.Ц. в мин.
;BI23_3SS1_DT36_f1;Сработка 3СС1-ДТ36 влажность в Помещении щитов №3 98% 
;BI23_3SS1_DT36_f2;Сработка 3СС1-ДТ36 влажность в Помещении щитов №3 80% 
;BI23_3SS1_DT36_T1;Сработка 3СС1-ДТ36 температура в Помещении щитов №3 30 гр.Ц.
;BI23_3SS1_DT36_T2;Сработка 3СС1-ДТ36 температура в Помещении щитов №3 70 гр.Ц.
;BI23_3SS1_DK9_T;Сработка 3СС1-ДК9 температура в Помещении щитов №3 70 гр.Ц.
;BI23_3SS1_DK9_dT;Сработка 3СС1-ДК9 изменение температуры в Помещении щитов №3 10 гр.Ц. в мин.
;BI23_3SS1_DK9_f;Сработка 3СС1-ДК9 дым в Помещении щитов №3 15%.
;BI23_3SS1_DT37_T1;Сработка 3СС1-ДТ37 температура в Каюте мичманов №1 30 гр.Ц.
;BI23_3SS1_DT37_T2;Сработка 3СС1-ДТ37 температура в Каюте мичманов №1 70 гр.Ц.
;BI23_3SS1_DT37_dT;Сработка 3СС1-ДТ37 изменение температуры в Каюте мичманов №1 10 гр.Ц. в мин.
;BI23_3SS1_DT38_T1;Сработка 3СС1-ДТ38 температура в Каюте мичманов №1 30 гр.Ц.
;BI23_3SS1_DT38_T2;Сработка 3СС1-ДТ38 температура в Каюте мичманов №1 70 гр.Ц.
;BI23_3SS1_DT38_dT;Сработка 3СС1-ДТ38 изменение температуры в Каюте мичманов №1 10 гр.Ц. в мин.
;BI23_3SS1_DT28_T1;Сработка 3СС1-ДТ28 температура в Рубке гидроакустики 30 гр.Ц.
;BI23_3SS1_DT28_T2;Сработка 3СС1-ДТ28 температура в Рубке гидроакустики 70 гр.Ц.
;BI23_3SS1_DT28_dT;Сработка 3СС1-ДТ28 изменение температуры в Рубке гидроакустики 10 гр.Ц. в мин.
;BI23_3SS1_DT29_T1;Сработка 3СС1-ДТ29 температура в Рубке гидроакустики 30 гр.Ц.
;BI23_3SS1_DT29_T2;Сработка 3СС1-ДТ29 температура в Рубке гидроакустики 70 гр.Ц.
;BI23_3SS1_DT29_dT;Сработка 3СС1-ДТ29 изменение температуры в Рубке гидроакустики 10 гр.Ц. в мин.
;BI23_3SS1_DK10_T;Сработка 3СС1-ДК10 температура в Аппаратной АСУ Диез 70 гр.Ц.
;BI23_3SS1_DK10_dT;Сработка 3СС1-ДК10 изменение температуры в Аппаратной АСУ Диез 10 гр.Ц. в мин.
;BI23_3SS1_DK10_f;Сработка 3СС1-ДК10 дым в Аппаратной АСУ Диез 15%.
;BI23_3SS1_R4;Сработка 3СС1-Р4 в Тамбуре №6
;BI23_3SS1_DF9_f;Сработка 3СС1-ДФ9 дым в Тамбуре №6 15%
;BI23_3SS1_DT27_T1;Сработка 3СС1-ДТ27 температура в Спец. архиве 30 гр.Ц.
;BI23_3SS1_DT27_T2;Сработка 3СС1-ДТ27 температура в Спец. архиве 70 гр.Ц.
;BI23_3SS1_DT27_dT;Сработка 3СС1-ДТ27 изменение температуры в Спец. архиве 10 гр.Ц. в мин.
;BI23_3SS1_DF10_f;Сработка 3СС1-ДФ10 дым в Спец. архиве 15%
;BI23_3SS1_DT39_T1;Сработка 3СС1-ДТ39 температура в Каюте мичманов №2 30 гр.Ц.
;BI23_3SS1_DT39_T2;Сработка 3СС1-ДТ39 температура в Каюте мичманов №2 70 гр.Ц.
;BI23_3SS1_DT39_dT;Сработка 3СС1-ДТ39 изменение температуры в Каюте мичманов №2 10 гр.Ц. в мин.
;BI23_3SS1_DT40_T1;Сработка 3СС1-ДТ40 температура в Каюте мичманов №2 30 гр.Ц.
;BI23_3SS1_DT40_T2;Сработка 3СС1-ДТ40 температура в Каюте мичманов №2 70 гр.Ц.
;BI23_3SS1_DT40_dT;Сработка 3СС1-ДТ40 изменение температуры в Каюте мичманов №2 10 гр.Ц. в мин.
;BI23_3SS1_DT30_T1;Сработка 3СС1-ДТ30 температура в Посудомоечной 30 гр.Ц.
;BI23_3SS1_DT30_T2;Сработка 3СС1-ДТ30 температура в Посудомоечной 70 гр.Ц.
;BI23_3SS1_DT30_dT;Сработка 3СС1-ДТ30 изменение температуры в Посудомоечной 10 гр.Ц. в мин.
;BI23_3SS1_DF17_f;Сработка 3СС1-ДФ17 дым в Тамбуре №8 15%
;BI23_3SS1_R6;Сработка 3СС1-Р6 в Тамбуре №8
;BI23_3SS1_DK8_T;Сработка 3СС1-ДК8 температура в Столовой 70 гр.Ц.
;BI23_3SS1_DK8_dT;Сработка 3СС1-ДК8 изменение температуры в Столовой 10 гр.Ц. в мин.
;BI23_3SS1_DK8_f;Сработка 3СС1-ДК8 дым в Столовой 15%
;BI23_3SS1_DT33_T1;Сработка 3СС1-ДТ33 температура в Столовой 30 гр.Ц.
;BI23_3SS1_DT33_T2;Сработка 3СС1-ДТ33 температура в Столовой 70 гр.Ц.
;BI23_3SS1_DT33_dT;Сработка 3СС1-ДТ33 изменение температуры в Столовой 10 гр.Ц. в мин.
;BI23_3SS1_DT34_T1;Сработка 3СС1-ДТ34 температура в Столовой 30 гр.Ц.
;BI23_3SS1_DT34_T2;Сработка 3СС1-ДТ34 температура в Столовой 70 гр.Ц.
;BI23_3SS1_DT34_dT;Сработка 3СС1-ДТ34 изменение температуры в Столовой 10 гр.Ц. в мин.
;BI23_3SS1_R8;Сработка 3СС1-Р8 в Столовой
;BI23_3SS1_DF18_f;Сработка 3СС1-ДФ18 дым в Коридоре №2 15%
;BI23_3SS1_DF19_f;Сработка 3СС1-ДФ19 дым в Коридоре №2 15%
;BI23_3SS1_R7;Сработка 3СС1-Р7 в Коридоре №2
;BI23_3SS1_DK12_V;Сработка 3СС1-ДК12 объем в Коридоре №2 20 мг. куб.
;BI23_3SS1_DK12_T;Сработка 3СС1-ДК12 температура в Коридоре №2 70 гр.Ц.
;BI23_3SS1_DK12_dT;Сработка 3СС1-ДК12 изменение температуры в Коридоре №2 10 гр.Ц. в мин.
;BI23_3SS1_DK12_f;Сработка 3СС1-ДК12 дым в Коридоре №2 15%
;BI23_3SS1_DK13_V;Сработка 3СС1-ДК13 объем в Тамбуре №2 20 мг. куб.
;BI23_3SS1_DK13_T;Сработка 3СС1-ДК13 температура в Тамбуре №2 70 гр.Ц.
;BI23_3SS1_DK13_dT;Сработка 3СС1-ДК13 изменение температуры в Тамбуре №2 10 гр.Ц. в мин.
;BI23_3SS1_DK13_f;Сработка 3СС1-ДК13 дым в Тамбуре №2 15%
;BI23_3SS1_DF6_f;Сработка 3СС1-ДФ6 дым в Тамбуре №2 15%
;BI23_3SS1_R2;Сработка 3СС1-Р2 в Тамбуре №2
;BI23_3SS1_DT13_f1;Сработка 3СС1-ДТ13 влажность в Помещении щитов №1 98%
;BI23_3SS1_DT13_f2;Сработка 3СС1-ДТ13 влажность в Помещении щитов №1 80%
;BI23_3SS1_DT13_T1;Сработка 3СС1-ДТ13 температура в Помещении щитов №1 30 гр.Ц.
;BI23_3SS1_DT13_T2;Сработка 3СС1-ДТ13 температура в Помещении щитов №1 70 гр.Ц.
;BI23_3SS1_DK7_T;Сработка 3СС1-ДК7 температура в Помещении щитов №1 70 гр.Ц.
;BI23_3SS1_DK7_dT;Сработка 3СС1-ДК7 изменение температуры в Помещении щитов №1 10 гр.Ц. в мин.
;BI23_3SS1_DK7_f;Сработка 3СС1-ДК7 дым в Помещении щитов №1 15%
;BI23_3SS1_DK5_T;Сработка 3СС1-ДК5 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DK5_dT;Сработка 3СС1-ДК5 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DK5_f;Сработка 3СС1-ДК5 дым в Кубрике №2 15%
;BI23_3SS1_DK6_T;Сработка 3СС1-ДК6 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DK6_dT;Сработка 3СС1-ДК6 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DK6_f;Сработка 3СС1-ДК6 дым в Кубрике №2 15%
;BI23_3SS1_DK15_T;Сработка 3СС1-ДК15 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DK15_dT;Сработка 3СС1-ДК15 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DK15_f;Сработка 3СС1-ДК15 дым в Кубрике №2 15%
;BI23_3SS1_DT20_T1;Сработка 3СС1-ДТ20 температура в Кубрике №2 30 гр.Ц.
;BI23_3SS1_DT20_T2;Сработка 3СС1-ДТ20 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DT20_dT;Сработка 3СС1-ДТ20 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DT21_T1;Сработка 3СС1-ДТ21 температура в Кубрике №2 30 гр.Ц.
;BI23_3SS1_DT21_T2;Сработка 3СС1-ДТ21 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DT21_dT;Сработка 3СС1-ДТ21 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DT22_T1;Сработка 3СС1-ДТ22 температура в Кубрике №2 30 гр.Ц.
;BI23_3SS1_DT22_T2;Сработка 3СС1-ДТ22 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DT22_dT;Сработка 3СС1-ДТ22 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DT23_T1;Сработка 3СС1-ДТ23 температура в Кубрике №2 30 гр.Ц.
;BI23_3SS1_DT23_T2;Сработка 3СС1-ДТ23 температура в Кубрике №2 70 гр.Ц.
;BI23_3SS1_DT23_dT;Сработка 3СС1-ДТ23 изменение температуры в Кубрике №2 10 гр.Ц. в мин.
;BI23_3SS1_DT24_T1;Сработка 3СС1-ДТ24 температура в Санузле №2 30 гр.Ц.
;BI23_3SS1_DT24_T2;Сработка 3СС1-ДТ24 температура в Санузле №2 70 гр.Ц.
;BI23_3SS1_DT24_dT;Сработка 3СС1-ДТ24 изменение температуры в Санузле №2 10 гр.Ц. в мин.
;BI23_3SS1_DT25_T1;Сработка 3СС1-ДТ25 температура в Санузле №2 30 гр.Ц.
;BI23_3SS1_DT25_T2;Сработка 3СС1-ДТ25 температура в Санузле №2 70 гр.Ц.
;BI23_3SS1_DT25_dT;Сработка 3СС1-ДТ24 изменение температуры в Санузле №2 10 гр.Ц. в мин.
;BI23_3SS1_DK2_T;Сработка 3СС1-ДК2 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DK2_dT;Сработка 3СС1-ДК2 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DK2_f;Сработка 3СС1-ДК2 дым в Кубрике №1 15%
;BI23_3SS1_DK3_T;Сработка 3СС1-ДК3 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DK3_dT;Сработка 3СС1-ДК3 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DK3_f;Сработка 3СС1-ДК3 дым в Кубрике №1 15%
;BI23_3SS1_DK4_T;Сработка 3СС1-ДК4 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DK4_dT;Сработка 3СС1-ДК4 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DK4_f;Сработка 3СС1-ДК4 дым в Кубрике №1 15%
;BI23_3SS1_DK14_T;Сработка 3СС1-ДК14 температура в Кубрике №1 70 гр.Ц.
;BI23_3SS1_DK14_dT;Сработка 3СС1-ДК14 изменение температуры в Кубрике №1 10 гр.Ц. в мин.
;BI23_3SS1_DK14_f;Сработка 3СС1-ДК14 дым в Кубрике №1 15%
